Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11343895165,"May 6, 2024, 09:02:59",Lunch Weight Training,Weight Training,,1677,0,170,26,FALSE,,,activities/12116184947.fit.gz,,,1677,1677,0,0,0,0,0,0,0,0,0,,,,,170,142,,,289,,,26,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
11343895217,"Apr 13, 2024, 06:14:16",Morning Run,Run,,837,2.02,174,22,FALSE,,,activities/12116184986.fit.gz,,,837,817,2028.7,3.832,2.483,11,7.8,27.8,32.8,16.7,0.2,,,,,174,154,,,164,,,22,,,,,,,,,,,,,0,,1,2048.7,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.424,0,,,,,,,,,2.508,,,,,,,,
11343895226,"Apr 23, 2024, 11:41:41",Afternoon Run,Run,,2289,4.78,179,65,FALSE,,,activities/12116184949.fit.gz,,,2289,2166,4786.5,5.876,2.21,31.6,31.8,31.6,46.6,12.9,0,,,,,179,156,,,371,,,65,,,,,,,,,,,,,0,,1,4847,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.091,0,,,,,,,,,2.238,,,,,,,,
11343895348,"Apr 10, 2024, 17:00:41",Evening Run,Run,,2214,5.06,179,59,FALSE,,,activities/12116185024.fit.gz,,,2214,2161,5061.3,4.844,2.342,32.8,33,30.6,45.4,30.2,0,,,,,179,154,,,398,,,59,,,,,,,,,,,,,0,,1,5106.8,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.286,0,,,,,,,,,2.363,,,,,,,,
11343895385,"Apr 7, 2024, 15:53:08",Afternoon Run,Run,,5017,10.24,183,128,FALSE,,,activities/12116185057.fit.gz,,,5017,4893,10246.2,5.424,2.094,62.6,63,31.8,46.2,29.8,0,,,,,183,155,,,870,,,128,,,,,,,,,,,,,0,,1,10342.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.042,0,,,,,,,,,2.114,,,,,,,,
11343895387,"Apr 11, 2024, 09:00:34",Lunch Run,Run,,4342,10.15,191,165,FALSE,,,activities/12116185049.fit.gz,,,4342,4143,10158.5,5.284,2.452,79.4,78.2,29.6,43.8,25.2,0,,,,,191,165,,,853,,,165,,,,,,,,,,,,,0,,1,10298.4,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.34,0,,,,,,,,,2.486,,,,,,,,
11344166051,"May 6, 2024, 09:45:28",Reprise run,Run,I’ve run twice this distance before with more energy to spare. Taking a week off really impacts my stamina,2308,5.38,,,FALSE,,,activities/11344166051.gpx,,,2308,2236,5383.4,10.764,2.408,28.6,28.6,34.8,50.4,29.1,0,,,,,,,,,,,,,,,,,,7,,,,,0,71,0,,1,5453.3,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.332,0,,,,4850,,,,,2.439,,,,,,,,
11392557501,"May 12, 2024, 10:52:06",Weekend short run,Run,"Pace was not as high, I didn’t want to do a second circuit until I got my new shoes and insoles",2381,5.48,,,FALSE,,,activities/11392557501.gpx,,,2381,2156,5485.7,13.777,2.544,23.9,23.9,35.4,50.4,7.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,5500.2,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.304,0,,,,4808,,,,,2.551,,,,,,,,
11422394144,"May 16, 2024, 08:09:19",Morning Weight Training,Weight Training,,1046,0,162,8,FALSE,,,activities/12196913286.fit.gz,,,1046,1046,0,0,0,0,0,0,0,0,0,,,,,162,130,,,163,,,8,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
11499295013,"May 26, 2024, 07:44:10",Sunday morning recovery run with new shoes,Run,,2549,6.06,,,FALSE,"I was quite huffy puffy on this run, I’m here to test if my knees hurt over a 6k run. I have to do this 5 times before going back to the doc ",,activities/11499295013.gpx,,,2549,2498,6065.5,15.369,2.428,30,30,35.4,50.4,32.9,0,,,,,,,,,693,,,,,,,,,7,,,,,0,79,0,,1,6128.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.38,0,,,,4996,,,,,2.453,,,,,,,,
